rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
2,0.0,100.0,0.125,0.8501070495122518,0.875,0.06188118811881188
2,0.0,1000.0,0.125,0.8262687556308386,0.875,0.06243756243756244
2,0.0,Inf,0.125,0.8203125000000016,0.875,0.0625
2,0.0,1.0,0.13,0.8695290348755028,0.87,0.0325
2,0.0,2.0,0.13,0.8690637478400889,0.87,0.043333333333333335
2,0.0,5.0,0.13,0.8677018614322105,0.87,0.05416666666666667
2,0.0,10.0,0.13,0.8655447380853274,0.87,0.05909090909090909
2,0.0,100.0,0.13,0.8431638378465451,0.87,0.06435643564356436
2,0.0,1000.0,0.13,0.8192012751552598,0.87,0.06493506493506493
2,0.0,Inf,0.13,0.8134499999999975,0.87,0.065
2,0.0,1.0,0.135,0.8644762200118294,0.865,0.03375
2,0.0,2.0,0.135,0.8639593042240936,0.865,0.045000000000000005
2,0.0,5.0,0.135,0.8624495809414717,0.865,0.05625
2,0.0,10.0,0.135,0.8600688113507889,0.865,0.06136363636363637
2,0.0,100.0,0.135,0.8362012967489341,0.865,0.06683168316831684
2,0.0,1000.0,0.135,0.8121683929455437,0.865,0.06743256743256744
2,0.0,Inf,0.135,0.8066124999999992,0.865,0.0675
2,0.0,1.0,0.14,0.8594199245599926,0.86,0.035
2,0.0,2.0,0.14,0.858848086232753,0.86,0.04666666666666667
2,0.0,5.0,0.14,0.8571817281754446,0.86,0.05833333333333334
2,0.0,10.0,0.14,0.8545659666820449,0.86,0.06363636363636364
2,0.0,100.0,0.14,0.8292245077582484,0.86,0.06930693069306931
2,0.0,1000.0,0.14,0.8051696276714394,0.86,0.06993006993006994
2,0.0,Inf,0.14,0.7997999999999992,0.86,0.07
2,0.0,1.0,0.145,0.854360086897427,0.855,0.03625
2,0.0,2.0,0.145,0.8537299906483994,0.855,0.04833333333333333
2,0.0,5.0,0.145,0.8518981837033147,0.855,0.06041666666666667
2,0.0,10.0,0.145,0.8490363428941529,0.855,0.0659090909090909
2,0.0,100.0,0.145,0.8222381058488225,0.855,0.07178217821782178
2,0.0,1000.0,0.145,0.7982045007016795,0.855,0.07242757242757243
2,0.0,Inf,0.145,0.7930125000000019,0.855,0.0725
2,0.0,1.0,0.15,0.8492966507842861,0.85,0.0375
2,0.0,2.0,0.15,0.8486049254131607,0.85,0.049999999999999996
2,0.0,5.0,0.15,0.8465988616327166,0.85,0.0625
2,0.0,10.0,0.15,0.8434801511483748,0.85,0.06818181818181818
2,0.0,100.0,0.15,0.8152463043094162,0.85,0.07425742574257425
2,0.0,1000.0,0.15,0.7912725441424396,0.85,0.07492507492507493
2,0.0,Inf,0.15,0.7862500000000006,0.85,0.075
2,0.0,1.0,0.155,0.8442295640174872,0.845,0.03875
2,0.0,2.0,0.155,0.8434728095761834,0.845,0.051666666666666666
2,0.0,5.0,0.155,0.8412837089739277,0.845,0.06458333333333334
2,0.0,10.0,0.155,0.837897671270328,0.845,0.07045454545454545
2,0.0,100.0,0.155,0.8082529220110755,0.845,0.07673267326732673
2,0.0,1000.0,0.155,0.7843733060728479,0.845,0.07742257742257742
2,0.0,Inf,0.155,0.7795125000000018,0.845,0.0775
2,0.0,1.0,0.16,0.8391587804486841,0.84,0.04
2,0.0,2.0,0.16,0.8383335732241732,0.84,0.05333333333333334
2,0.0,5.0,0.16,0.8359527049176972,0.84,0.06666666666666667
2,0.0,10.0,0.16,0.8322892478959112,0.84,0.07272727272727274
2,0.0,100.0,0.16,0.8012614117031833,0.84,0.07920792079207921
2,0.0,1000.0,0.16,0.7775063537863118,0.84,0.07992007992007992
2,0.0,Inf,0.16,0.7727999999999999,0.84,0.08
2,0.0,1.0,0.165,0.8340842585960848,0.835,0.04125
2,0.0,2.0,0.165,0.8331871573955922,0.835,0.055
2,0.0,5.0,0.165,0.8306058600336553,0.835,0.06875
