alpha,q,fe
0.7,0.0,-0.12821968450847862
0.74,0.9999,0.06774955053530318
0.74,0.9998795799434764,0.06828787798724223
0.74,0.9998549900998686,0.0692413064326518
0.74,0.999825378996297,0.07014803708393291
0.74,0.9997897212886387,0.07097780886435401
0.74,0.9997467822569217,0.07077720756835326
0.74,0.9996950750506575,0.07323835390484135
0.74,0.9996328092036472,0.07406400881563202
0.74,0.9995578286354826,0.07482690914538437
0.74,0.999467536992917,0.07575598797185612
0.74,0.9993588077459036,0.07784480018620332
0.74,0.9992278759251922,0.07755234397142585
0.74,0.9990702077526843,0.0746355644411626
0.74,0.9988803436502306,0.07631965850297684
0.74,0.9986517091907379,0.07891329585775253
0.74,0.9983763874453843,0.08145131879862622
0.74,0.9980448448440078,0.08067048130208188
0.74,0.9976456010560306,0.08279868736380247
0.74,0.9971648314608815,0.08328470141701727
0.74,0.9965858884426547,0.08498186095725757
0.74,0.9958887249328668,0.08008265767774114
0.74,0.9950492002403184,0.08689659803850136
0.74,0.9940382441310223,0.08523872994925119
0.74,0.9928208502127792,0.08721988389995916
0.74,0.9913548637683164,0.08729706911008672
0.74,0.9895895220632662,0.08826387011294345
0.74,0.9874636965842105,0.0896385239317512
0.74,0.9849037763407389,0.0889710703714699
0.74,0.981821118936592,0.08886343386455225
0.74,0.9781089811480899,0.08893930779380793
0.74,0.9736388227249426,0.08875638490491589
0.74,0.9682558554250951,0.08932554068473036
0.74,0.9617736831599729,0.08684866432850635
0.74,0.9539678476543572,0.0868441208869492
0.74,0.944568056126357,0.08613119784776568
0.74,0.9332488218552406,0.08250302865975567
0.74,0.9196181935479261,0.08080692456274752
0.74,0.9032041832357389,0.07694161021546359
0.74,0.8834384227400172,0.07222844137849493
0.74,0.8596364827787537,0.06602701090905747
0.74,0.8309741732236922,0.058767143472370165
0.74,0.7964590038565238,0.049518195230494805
0.74,0.7548958173953708,0.03854595890591192
0.74,0.7048454047658499,0.026182510281119023
0.74,0.6445746695870965,0.012760460738730273
0.74,0.5719966162176653,-0.008301722547907675
0.74,0.4845980833264829,-0.028994643436938715
0.74,0.3793527206181426,-0.05276180709252458
0.74,0.25261619535631386,-0.07922547453603246
0.74,0.09999999999999998,-0.10880166510801363
0.74,0.0,-0.12750639031238425
