rho,beta,alpha_BO,alpha_MNNE,alpha_LR_BO,alpha_LR_MNNE
0.11,1,0.2079,0.3772086026928211,0.945,1.7145845576946412
0.111,1,0.209679,0.3797571346722447,0.9445,1.71061772374885
0.112,1,0.211456,0.3822954229692953,0.944,1.7066759953986397
0.113,1,0.213231,0.3848235350853674,0.9435,1.7027590048025105
0.114,1,0.215004,0.387341537548822,0.943,1.6988663927579912
0.115,1,0.21677500000000002,0.3898494959378137,0.9425000000000001,1.6949978084252768
0.116,1,0.218544,0.39234747490238653,0.942,1.6911529090620108
0.117,1,0.220311,0.3948355381858646,0.9415,1.687331359768652
0.118,1,0.222076,0.39731374864557845,0.9410000000000001,1.6835328332439765
0.119,1,0.22383899999999998,0.39978216827294233,0.9405,1.679757009550178
0.12,1,0.22559999999999997,0.40224085821291117,0.94,1.67600357588713
0.121,1,0.227359,0.4046898787828448,0.9395,1.6722722263753917
0.122,1,0.22911600000000001,0.40712928949079596,0.9390000000000001,1.6685626618475244
0.123,1,0.230871,0.40955914905325086,0.9385,1.6648745896473613
0.124,1,0.232624,0.4119795154123388,0.938,1.66120772343685
0.125,1,0.234375,0.4143904457525284,0.9375,1.6575617830101137
0.126,1,0.23612400000000003,0.4167919965168411,0.937,1.653936494114449
0.127,1,0.237871,0.41918422342258377,0.9365,1.6503315882778888
0.128,1,0.239616,0.4215671814766292,0.9359999999999999,1.6467468026430827
0.129,1,0.24135900000000002,0.42394092499026165,0.9355,1.6431818798072158
0.13,1,0.2431,0.4263055075935933,0.935,1.6396365676676665
0.131,1,0.244839,0.42866098224957766,0.9345,1.6361106192731971
0.132,1,0.246576,0.4310074012676294,0.9339999999999999,1.6326037926804142
0.133,1,0.248311,0.4333448163168626,0.9335,1.629115850815273
0.134,1,0.25004400000000004,0.4356732784389666,0.9330000000000002,1.6256465613394275
0.135,1,0.251775,0.4379928380607265,0.9325,1.622195696521209
0.136,1,0.253504,0.44030354500620517,0.9319999999999999,1.6187630331110483
0.137,1,0.25523100000000004,0.4426054485085935,0.9315000000000001,1.615348352221144
0.138,1,0.256956,0.4448985972217441,0.9309999999999999,1.6119514392092176
0.139,1,0.25867900000000005,0.4471830392313987,0.9305000000000001,1.608572083566182
0.14,1,0.2604,0.4494588220661192,0.9299999999999999,1.6052100788075685
0.141,1,0.262119,0.4517259927079269,0.9295000000000001,1.6018652223685352
0.142,1,0.263836,0.4539845976026745,0.9290000000000002,1.5985373155023752
0.143,1,0.265551,0.456234682670137,0.9285,1.5952261631822973
0.144,1,0.267264,0.45847629331385553,0.928,1.591931574006443
0.145,1,0.26897499999999996,0.46070947443072063,0.9275,1.5886533601059334
0.146,1,0.270684,0.4629342704203194,0.9269999999999999,1.5853913370558885
0.147,1,0.272391,0.4651507251940425,0.9265,1.5821453237892602
0.148,1,0.274096,0.46735888218396704,0.926,1.5789151425134023
0.149,1,0.27579899999999996,0.46955878435151727,0.9254999999999999,1.5757006186292526
0.15,1,0.2775,0.4717504741959111,0.9250000000000002,1.5725015806530371
0.151,1,0.279199,0.47393399376240175,0.9245,1.5693178601404032
0.152,1,0.280896,0.4761093846503182,0.9239999999999999,1.566149291612889
0.153,1,0.282591,0.4782766880209095,0.9235,1.5629957124866325
0.154,1,0.28428400000000004,0.48043594460500294,0.9230000000000002,1.5598569630032564
0.155,1,0.285975,0.48258719471047884,0.9225,1.556732886162835
0.156,1,0.28766400000000003,0.4847304782295674,0.9220000000000002,1.5536233276588698
0.157,1,0.28935099999999997,0.4868658346459754,0.9214999999999999,1.5505281358152083
0.158,1,0.291036,0.4889933030418434,0.921,1.5474471615248209
0.159,1,0.292719,0.49111292210454555,0.9205,1.5443802581903947
0.16,1,0.2944,0.4932247301333255,0.9199999999999999,1.5413272816666421
0.161,1,0.296079,0.4953287650457886,0.9194999999999999,1.5382880902043123
0.162,1,0.297756,0.4974250643842374,0.919,1.5352625443957943
0.163,1,0.299431,0.4995136653218703,0.9185,1.5322505071223016
0.164,1,0.30110400000000004,0.5015946043440545,0.918,1.5292518425123611
0.165,1,0.302775,0.5036679185535146,0.9175,1.526266419859135
0.166,1,0.30444400000000005,0.5057336437270137,0.9170000000000001,1.523294107611487
0.167,1,0.306111,0.5077918156205516,0.9165,1.5203347773070408
0.168,1,0.30777600000000005,0.5098424696499849,0.916,1.517388302529717
0.169,1,0.309439,0.511885640896442,0.9155,1.5144545588652127
0.17,1,0.31110000000000004,0.5139213641116194,0.915,1.5115334238577038
0.171,1,0.312759,0.5159496737229643,0.9145,1.5086247769677317
0.172,1,0.314416,0.5179706038387479,0.914,1.505728499531244
0.173,1,0.316071,0.5199841882530258,0.9135000000000001,1.502844474719728
0.174,1,0.317724,0.5219904604504979,0.913,1.499972587501431
0.175,1,0.31937499999999996,0.5239894536112631,0.9125,1.4971127246036091
0.176,1,0.321024,0.5259812006154737,0.912,1.4942647744757778
0.177,1,0.322671,0.5279657340478936,0.9115,1.4914286272539368
0.178,1,0.324316,0.5299430862023639,0.911,1.4886041747257412
0.179,1,0.325959,0.5319132890861709,0.9105000000000001,1.4857913102965667
0.18,1,0.3276,0.5338763744243321,0.91,1.482989928956478
0.181,1,0.329239,0.535832373663786,0.9095000000000001,1.4801999272480277
0.182,1,0.330876,0.5377813179775048,0.909,1.4774212032349034
0.183,1,0.332511,0.5397232382685192,0.9085,1.474653656471364
0.184,1,0.334144,0.5416581651738641,0.908,1.471897187972457
0.185,1,0.335775,0.5435861290684452,0.9075,1.469151700184987
0.186,1,0.337404,0.5455071600688295,0.9069999999999999,1.466417096959219
0.187,1,0.33903099999999997,0.5474212880369597,0.9065,1.4636932835212826
0.188,1,0.340656,0.549328542583797,0.906,1.4609801664462687
0.189,1,0.342279,0.5512289530728902,0.9055,1.4582776536319846
0.19,1,0.34390000000000004,0.5531225486238807,0.9050000000000001,1.45558565427337
0.191,1,0.345519,0.5550093581159333,0.9045000000000001,1.4529040788375218
0.192,1,0.347136,0.5568894101911054,0.904,1.4502328390393369
0.193,1,0.348751,0.5587627332576502,0.9035,1.4475718478177466
0.194,1,0.350364,0.5606293554932574,0.903,1.444921019312519
0.195,1,0.351975,0.5624893048482311,0.9025,1.4422802688416183
0.196,1,0.353584,0.5643426090486127,0.902,1.4396495128791138
0.197,1,0.355191,0.5661892955992359,0.9014999999999999,1.4370286690335936
0.198,1,0.356796,0.5680293917867372,0.9009999999999999,1.434417656027114
0.199,1,0.358399,0.5698629246824982,0.9005,1.4318163936746187
0.2,1,0.36000000000000004,0.571689921145544,0.9,1.4292248028638599
0.201,1,0.361599,0.573510407825379,0.8995,1.4266428055357685
0.202,1,0.363196,0.5753244111647802,0.899,1.4240703246652973
0.203,1,0.36479100000000003,0.5771319574025329,0.8985,1.4215072842426917
0.204,1,0.366384,0.5789330725761176,0.898,1.4189536092551902
0.205,1,0.36797499999999994,0.5807277825243535,0.8975,1.416409225669155
0.206,1,0.369564,0.5825161128899884,0.897,1.4138740604125932
0.207,1,0.37115099999999995,0.5842980891222472,0.8965,1.4113480413580852
0.208,1,0.372736,0.5860737364793308,0.896,1.4088310973060838
0.209,1,0.37431899999999996,0.5878430800308763,0.8955,1.4063231579686035
0.21,1,0.3759,0.5896061446603689,0.895,1.4038241539532592
0.211,1,0.37747899999999995,0.5913629550675139,0.8945,1.4013340167476633
0.212,1,0.379056,0.5931135357705678,0.894,1.3988526787041693
0.213,1,0.380631,0.5948579111086291,0.8935,1.396380073024951
0.214,1,0.382204,0.5965961052438871,0.893,1.3939161337473998
0.215,1,0.383775,0.5983281421638359,0.8925,1.391460795729851
0.216,1,0.385344,0.6000540456834477,0.892,1.3890139946376103
0.217,1,0.386911,0.6017738394473093,0.8915000000000001,1.3865756669292841
0.218,1,0.388476,0.603487546931726,0.891,1.3841457498434082
0.219,1,0.39003899999999997,0.6051951914467845,0.8905,1.3817241813853527
0.22,1,0.3916,0.6068967961383852,0.89,1.3793109003145119
0.221,1,0.393159,0.6085923839902403,0.8895,1.3769058461317654
0.222,1,0.394716,0.6102819778258363,0.889,1.3745089590671988
0.223,1,0.396271,0.6119656003103673,0.8885,1.372120180068088
0.224,1,0.397824,0.6136432739526327,0.888,1.3697394507871266
0.225,1,0.399375,0.6153150211069086,0.8875,1.367366713570908
0.226,1,0.400924,0.6169808639747831,0.887,1.3650019114486351
0.227,1,0.40247099999999997,0.618640824606967,0.8865,1.3626449881210727
0.228,1,0.40401600000000004,0.6202949249050718,0.886,1.3602958879497187
0.229,1,0.405559,0.6219431866233595,0.8855,1.3579545559461996
