alpha,q,fe
0.615,0.9950492002403184,-0.13492421329081117
0.615,0.9940382441310223,-0.134368187234428
0.615,0.9928208502127792,-0.1336978829535712
0.615,0.9913548637683164,-0.1326360834178199
0.615,0.9895895220632662,-0.1331161267699964
0.615,0.9874636965842105,-0.13233674461033307
0.615,0.9849037763407389,-0.13272766312291967
0.615,0.981821118936592,-0.1317425038202255
0.615,0.9781089811480899,-0.13187125705306135
0.615,0.9736388227249426,-0.13200597116677038
0.615,0.9682558554250951,-0.13241659464667188
0.615,0.9617736831599729,-0.13297382846359868
0.615,0.9539678476543572,-0.13399431294157088
0.615,0.944568056126357,-0.13537591539528543
0.615,0.9332488218552406,-0.13700900802052562
0.615,0.9196181935479261,-0.13935260983341125
0.615,0.9032041832357389,-0.14220574653146467
0.615,0.8834384227400172,-0.14567746220318803
0.615,0.8596364827787537,-0.15025578102306603
0.615,0.8309741732236922,-0.1557953012877225
0.615,0.7964590038565238,-0.16255355497949595
0.615,0.7548958173953708,-0.17077201030174818
0.615,0.7048454047658499,-0.18066261770951966
0.615,0.6445746695870965,-0.19239577171762412
0.615,0.5719966162176653,-0.20617690354796736
0.615,0.4845980833264829,-0.22218781938844945
0.615,0.3793527206181426,-0.24058267750873782
0.615,0.25261619535631386,-0.2614841024786097
0.615,0.09999999999999998,-0.2850339059447415
0.615,0.0,-0.2995737138216568
