rho,delta,beta,alpha,mmse,mse_ridge_opt
0.05,0.1,5.0,1.44,0.00429801527668594,0.14581245772583584
0.05,0.1,5.0,1.46,0.004236812632128606,0.14237424163885748
0.05,0.1,5.0,1.48,0.004177328064772556,0.1390687590584987
0.05,0.1,5.0,1.5,0.004119489350346228,0.1358898943540673
0.05,0.1,5.0,1.52,0.004063232877041356,0.13283179650969057
0.05,0.1,5.0,1.54,0.004008490723677149,0.1298888751680798
0.05,0.1,5.0,1.56,0.003955203909994931,0.1270557952810576
0.05,0.1,5.0,1.58,0.003903362335056282,0.12432747064975602
0.05,0.1,5.0,1.6,0.003852770122569127,0.1216990566028302
0.05,0.1,5.0,1.62,0.003803517197891737,0.11916594202843755
0.05,0.1,5.0,1.64,0.003755507587727802,0.1167237409455183
0.05,0.1,5.0,1.66,0.003708694657390099,0.1143682837723311
0.05,0.1,5.0,1.68,0.0036630343047009406,0.11209560842532762
0.05,0.1,5.0,1.7,0.0036184796996657775,0.1099019513592785
0.05,0.1,5.0,1.72,0.003575005513097973,0.1077837386399847
0.05,0.1,5.0,1.74,0.0035325579120835116,0.10573757712379672
0.05,0.1,5.0,1.76,0.003491108081782879,0.10376024580330079
0.05,0.1,5.0,1.78,0.0034506188587565267,0.10184868736576258
0.05,0.1,5.0,1.8,0.003411057424287267,0.09999999999999998
0.05,0.1,5.0,1.82,0.003372393557121156,0.09821142947811445
0.05,0.1,5.0,1.84,0.003334595967325882,0.09648036153074202
0.05,0.1,5.0,1.86,0.003297636307097229,0.09480431452799642
0.05,0.1,5.0,1.88,0.003261486195292651,0.09318093247293335
0.05,0.1,5.0,1.9,0.0032261208633966865,0.0916079783099617
0.05,0.1,5.0,1.92,0.0031915091713791144,0.09008332754710002
0.05,0.1,5.0,1.94,0.003157641123572086,0.08860496218811764
0.05,0.1,5.0,1.96,0.0031244811600509292,0.08717096496837895
0.05,0.1,5.0,1.98,0.0030920094375618268,0.08577951388648064
0.05,0.1,5.0,2.0,0.003060204956780721,0.08442887702247626
0.05,0.1,5.0,2.02,0.003029049407570872,0.08311740763254094
0.05,0.1,5.0,2.04,0.0029985212836755037,0.08184353950929046
0.05,0.1,5.0,2.06,0.0029686023264640093,0.08060578259654971
0.05,0.1,5.0,2.08,0.00293927026859242,0.07940271884718242
0.05,0.1,5.0,2.1,0.0029105202611376946,0.07823299831252684
0.05,0.1,5.0,2.12,0.0028823233832036,0.07709533545207536
0.05,0.1,5.0,2.14,0.002854667387092169,0.07598850565221249
0.05,0.1,5.0,2.16,0.002827537171066097,0.07491134194308435
0.05,0.1,5.0,2.18,0.002800917563570149,0.07386273190298986
0.05,0.1,5.0,2.2,0.002774794631643096,0.07284161474004813
0.05,0.1,5.0,2.22,0.002749154423009492,0.07184697854127953
0.05,0.1,5.0,2.24,0.0027239836838173215,0.07087785767965826
0.05,0.1,5.0,2.26,0.002699269373089841,0.06993333037010685
0.05,0.1,5.0,2.28,0.00267499996188858,0.06901251636583705
0.05,0.1,5.0,2.3,0.0026511629713694695,0.0681145747868609
0.05,0.1,5.0,2.32,0.0026277469830828792,0.06723870207292182
0.05,0.1,5.0,2.34,0.002604740903322078,0.06638413005349997
0.05,0.1,5.0,2.36,0.0025821341550328336,0.06555012412795203
0.05,0.1,5.0,2.38,0.0025599164162166677,0.06473598154922822
0.05,0.1,5.0,2.4,0.0025380778253799585,0.06394102980498517
0.05,0.1,5.0,2.42,0.002516607184978148,0.06316462509026699
0.05,0.1,5.0,2.44,0.002495499781012156,0.062406150866270216
0.05,0.1,5.0,2.46,0.002474740706145062,0.06166501650003242
0.05,0.1,5.0,2.48,0.002454326359632386,0.06094065598019216
0.05,0.1,5.0,2.5,0.0024342451268355436,0.0602325267042626
0.05,0.1,5.0,2.52,0.0024144896310627217,0.059540108333134834
0.05,0.1,5.0,2.54,0.0023950523961356884,0.05886290170879316
0.05,0.1,5.0,2.56,0.002375925472567375,0.058200427831466284
0.05,0.1,5.0,2.58,0.0023571015614328727,0.05755222689267492
0.05,0.1,5.0,2.6,0.0023385737408976315,0.05691785736085264
0.05,0.1,5.0,2.62,0.0023203348751229536,0.05629689511642444
0.05,0.1,5.0,2.64,0.002304004502803436,0.055688932633419674
0.05,0.1,5.0,2.66,0.002284697266697111,0.055093578204876814
0.05,0.1,5.0,2.68,0.0022672857002010716,0.054510455209469844
0.05,0.1,5.0,2.7,0.0022501377852460758,0.05393920141694564
0.05,0.1,5.0,2.72,0.0022332473297568267,0.053379468330107094
0.05,0.1,5.0,2.74,0.002216608421206634,0.052830920561224626
0.05,0.1,5.0,2.76,0.002200225872755923,0.052293235240882585
0.05,0.1,5.0,2.78,0.002184073411609755,0.05176610145739491
0.05,0.1,5.0,2.8,0.0021681563584877717,0.05124921972503915
0.05,0.1,5.0,2.82,0.00215246985596651,0.050742301479462126
0.05,0.1,5.0,2.84,0.002137008584180311,0.05024506859871658
0.05,0.1,5.0,2.86,0.002121767860583379,0.04975725294847999
0.05,0.1,5.0,2.88,0.002106742799873551,0.04927859595009454
0.05,0.1,5.0,2.9,0.0020919291357225367,0.04880884817015141
0.05,0.1,5.0,2.92,0.0020773223587207124,0.04834776893042103
0.05,0.1,5.0,2.94,0.00206291788991686,0.047895125936999405
0.05,0.1,5.0,2.96,0.002048712120745644,0.047450694927614556
0.05,0.1,5.0,2.98,0.002034700618630536,0.047014259336095376
0.05,0.1,5.0,3.0,0.0020209084858632265,0.04658560997306527
0.05,0.1,5.0,3.02,0.002007244722159407,0.04616454472198661
0.05,0.1,5.0,3.04,0.001993792690921592,0.04575086824971808
0.05,0.1,5.0,3.06,0.0019805200326126204,0.04534439173081595
0.05,0.1,5.0,3.08,0.001967422755110415,0.04494493258483678
0.05,0.1,5.0,3.1,0.001954497628914309,0.04455231422595962
0.05,0.1,5.0,3.12,0.0019417410969070348,0.044166365824268916
0.05,0.1,5.0,3.14,0.0019291500837761433,0.043786922078092316
0.05,0.1,5.0,3.16,0.0019167212923655308,0.04341382299681462
0.05,0.1,5.0,3.18,0.0019044517839107433,0.043046913693620126
0.05,0.1,5.0,3.2,0.0018923381903304115,0.0426860441876562
0.05,0.1,5.0,3.22,0.0018803776451330467,0.042331069215130857
0.05,0.1,5.0,3.24,0.0018685669051906606,0.041981848048888715
0.05,0.1,5.0,3.26,0.0018569046182667082,0.04163824432603613
0.05,0.1,5.0,3.28,0.0018453864987402202,0.04130012588320642
0.05,0.1,5.0,3.3,0.00183401023656371,0.040967364599085565
0.05,0.1,5.0,3.32,0.0018227735904434716,0.04063983624383238
0.05,0.1,5.0,3.34,0.0018116737195376098,0.04031742033505192
0.05,0.1,5.0,3.36,0.001800708304574794,0.040000000000000036
0.05,0.1,5.0,3.38,0.0017898747520124214,0.0396874618437113
0.05,0.1,5.0,3.4,0.0017791706146427222,0.03937969582276257
0.05,0.1,5.0,3.42,0.0017685940742045991,0.039076595124398206
0.05,0.1,5.0,3.44,0.0017581423263665075,0.03877805605075757
0.05,0.1,5.0,3.46,0.001747813393540243,0.038483977907960765
0.05,0.1,5.0,3.48,0.0017376051553961158,0.03819426289982131
0.05,0.1,5.0,3.5,0.001727515351007014,0.037908816025965186
0.05,0.1,5.0,3.52,0.001717542208763967,0.03762754498414733
0.05,0.1,5.0,3.54,0.0017076835376114152,0.037350360076572
0.05,0.1,5.0,3.56,0.0016979370771980085,0.03707717412002742
0.05,0.1,5.0,3.58,0.0016883018280042794,0.03680790235965736
0.05,0.1,5.0,3.6,0.0016787748145861148,0.03654246238620473
0.05,0.1,5.0,3.62,0.0016693548333420738,0.036280774056564824
0.05,0.1,5.0,3.64,0.0016600402248325707,0.03602275941749966
0.05,0.1,5.0,3.66,0.0016508288544972993,0.03576834263236717
0.05,0.1,5.0,3.68,0.0016417195913845939,0.035517449910733245
0.05,0.1,5.0,3.7,0.0016327097244920319,0.03527000944073222
0.05,0.1,5.0,3.72,0.0016237979277599068,0.03502595132405828
0.05,0.1,5.0,3.74,0.001614983236751466,0.034785207513466476
0.05,0.1,5.0,3.76,0.0016062636658210616,0.034547711752676125
0.05,0.1,5.0,3.78,0.001597637685790243,0.03431339951856893
0.05,0.1,5.0,3.8,0.0015891061208912483,0.03408220796558292
0.05,0.1,5.0,3.82,0.0015806611844683127,0.033854075872205125
0.05,0.1,5.0,3.84,0.001572307430251496,0.03362894358947477
0.05,0.1,5.0,3.86,0.0015640414362277921,0.03340675299140916
0.05,0.1,5.0,3.88,0.001555861999367858,0.0331874474272692
0.05,0.1,5.0,3.9,0.0015477650624792227,0.032970971675589045
0.05,0.1,5.0,3.92,0.0015397570609191336,0.03275727189989286
0.05,0.1,5.0,3.94,0.001531828931706336,0.03254629560602795
0.05,0.1,5.0,3.96,0.0015239796568046193,0.03233799160104911
0.05,0.1,5.0,3.98,0.0015162128413824805,0.03213230995358651
0.05,0.1,5.0,4.0,0.001508524769921471,0.03192920195563742
0.05,0.1,5.0,4.02,0.0015009136534448464,0.03172862008572308
0.05,0.1,5.0,4.04,0.0014933823824950787,0.031530517973354044
0.05,0.1,5.0,4.06,0.0014859235164307316,0.0313348503647527
0.05,0.1,5.0,4.08,0.0014785386841846826,0.03114157308977794
0.05,0.1,5.0,4.1,0.001471226960293559,0.03095064303000905
0.05,0.1,5.0,4.12,0.001463987250387988,0.030762018087937104
0.05,0.1,5.0,4.14,0.0014568182643356353,0.030575657157223435
0.05,0.1,5.0,4.16,0.001449719434044705,0.030391520093980717
0.05,0.1,5.0,4.18,0.0014426893091427084,0.030209567689037042
0.05,0.1,5.0,4.2,0.0014357270046347903,0.030029761641144237
0.05,0.1,5.0,4.22,0.001428831538691,0.02985206453109379
0.05,0.1,5.0,4.24,0.0014220020498735275,0.0296764397967042
0.05,0.1,5.0,4.26,0.0014152375998668365,0.02950285170864808
0.05,0.1,5.0,4.28,0.0014085371796830337,0.029331265347082525
0.05,0.1,5.0,4.3,0.0014018998314135889,0.029161646579058176
0.05,0.1,5.0,4.32,0.0013953245937855518,0.02899396203667126
0.05,0.1,5.0,4.34,0.0013888110220221517,0.028828179095933937
0.05,0.1,5.0,4.36,0.0013823576259255344,0.028664265856334414
0.05,0.1,5.0,4.38,0.001375964459428669,0.02850219112106278
0.05,0.1,5.0,4.4,0.0013696296417767817,0.02834192437787386
0.05,0.1,5.0,4.42,0.0013633531056435055,0.028183435780568922
0.05,0.1,5.0,4.44,0.001357133963432955,0.028026696131066897
0.05,0.1,5.0,4.46,0.0013509711618842069,0.027871676862049832
0.05,0.1,5.0,4.48,0.0013448640622850672,0.027718350020156435
0.05,0.1,5.0,4.5,0.0013388119990077607,0.02756668824970654
0.05,0.1,5.0,4.52,0.0013328144176979473,0.02741666477693616
0.05,0.1,5.0,4.54,0.0013268698213957375,0.027268253394725606
0.05,0.1,5.0,4.56,0.0013209781843268598,0.027121428447800744
0.05,0.1,5.0,4.58,0.0013151367654465895,0.026976164818394155
0.05,0.1,5.0,4.6,0.0013093506070889216,0.026832437912345908
0.05,0.1,5.0,4.62,0.0013037064779241048,0.026690223645630562
0.05,0.1,5.0,4.64,0.0012979260091828815,0.026549498431295726
0.05,0.1,5.0,4.66,0.0012922880885540833,0.026410239166795857
0.05,0.1,5.0,4.68,0.0012866987596810153,0.02627242322170875
0.05,0.1,5.0,4.7,0.0012811573992748126,0.0261360284258223
0.05,0.1,5.0,4.72,0.0012756646856725284,0.026001033057575507
0.05,0.1,5.0,4.74,0.0012702179619288323,0.025867415832846352
0.05,0.1,5.0,4.76,0.001264817853556699,0.025735155894069273
0.05,0.1,5.0,4.78,0.0012594633944501554,0.025604232799675275
0.05,0.1,5.0,4.8,0.0012541539704470361,0.025474626513841025
0.05,0.1,5.0,4.82,0.0012488891685364933,0.025346317396539142
0.05,0.1,5.0,4.84,0.0012436684040607604,0.025219286193876034
0.05,0.1,5.0,4.86,0.0012384910833018736,0.02509351402870985
0.05,0.1,5.0,4.88,0.0012333566825619702,0.02496898239154044
0.05,0.1,5.0,4.9,0.0012282646913157613,0.02484567313165864
0.05,0.1,5.0,4.92,0.001223216069510591,0.024723568448549615
0.05,0.1,5.0,4.94,0.0012182057351529663,0.0246026508835403
0.05,0.1,5.0,4.96,0.0012132377440479125,0.024482903311682347
0.05,0.1,5.0,4.98,0.0012083102378502852,0.02436430893386632
0.05,0.1,5.0,5.0,0.0012034225648958063,0.024246851269153935
