rho,delta,beta,alpha,mmse,mse_ridge_opt
2.0,0.0,2.0,0.31,0.6809087154244419,0.69
0.1,0.0,2.0,0.315,0.0,0.685
0.2,0.0,2.0,0.315,0.0,0.685
0.5,0.0,2.0,0.315,0.5641569845372094,0.685
1.0,0.0,2.0,0.315,0.6506804870389584,0.685
2.0,0.0,2.0,0.315,0.6755668270189239,0.685
0.1,0.0,2.0,0.32,0.0,0.6799999999999999
0.2,0.0,2.0,0.32,0.0,0.6799999999999999
0.5,0.0,2.0,0.32,0.5554155199371882,0.6799999999999999
1.0,0.0,2.0,0.32,0.644513474427885,0.6799999999999999
2.0,0.0,2.0,0.32,0.6702203599319991,0.6799999999999999
0.1,0.0,2.0,0.325,0.0,0.675
0.2,0.0,2.0,0.325,0.0,0.675
0.5,0.0,2.0,0.325,0.5466543823662166,0.675
1.0,0.0,2.0,0.325,0.6383366338956628,0.675
2.0,0.0,2.0,0.325,0.6648694999536418,0.675
0.1,0.0,2.0,0.33,0.0,0.6699999999999999
0.2,0.0,2.0,0.33,0.0,0.6699999999999999
0.5,0.0,2.0,0.33,0.5378753016582019,0.6699999999999999
1.0,0.0,2.0,0.33,0.6321506627223484,0.6699999999999999
2.0,0.0,2.0,0.33,0.659514436647689,0.6699999999999999
0.1,0.0,2.0,0.335,0.0,0.665
0.2,0.0,2.0,0.335,0.0,0.665
0.5,0.0,2.0,0.335,0.5290799672516595,0.665
1.0,0.0,2.0,0.335,0.6259562585314128,0.665
2.0,0.0,2.0,0.335,0.6541553631475517,0.665
0.1,0.0,2.0,0.34,0.0,0.6599999999999999
0.2,0.0,2.0,0.34,0.0,0.6599999999999999
0.5,0.0,2.0,0.34,0.5202700225891864,0.6599999999999999
1.0,0.0,2.0,0.34,0.6197541319013953,0.6599999999999999
2.0,0.0,2.0,0.34,0.6487924759580623,0.6599999999999999
0.1,0.0,2.0,0.345,0.0,0.655
0.2,0.0,2.0,0.345,0.0,0.655
0.5,0.0,2.0,0.345,0.5114470894258845,0.655
1.0,0.0,2.0,0.345,0.6135449495846768,0.655
2.0,0.0,2.0,0.345,0.6434259747635739,0.655
0.1,0.0,2.0,0.35,0.0,0.65
0.2,0.0,2.0,0.35,0.0,0.65
0.5,0.0,2.0,0.35,0.5026127184488318,0.65
1.0,0.0,2.0,0.35,0.6073294252287719,0.65
2.0,0.0,2.0,0.35,0.6380560622424043,0.65
0.1,0.0,2.0,0.355,0.0,0.645
0.2,0.0,2.0,0.355,0.0,0.645
0.5,0.0,2.0,0.355,0.49376843579774066,0.645
1.0,0.0,2.0,0.355,0.6011082529741718,0.645
2.0,0.0,2.0,0.355,0.6326829438876921,0.645
0.1,0.0,2.0,0.36,0.0,0.64
0.2,0.0,2.0,0.36,0.0,0.64
0.5,0.0,2.0,0.36,0.48491572163095864,0.64
1.0,0.0,2.0,0.36,0.5948821251879877,0.64
2.0,0.0,2.0,0.36,0.6273068412877962,0.64
0.1,0.0,2.0,0.365,0.0,0.635
0.2,0.0,2.0,0.365,0.0,0.635
0.5,0.0,2.0,0.365,0.47605601995192537,0.635
1.0,0.0,2.0,0.365,0.5886517321551489,0.635
2.0,0.0,2.0,0.365,0.6219279350559406,0.635
0.1,0.0,2.0,0.37,0.0,0.63
0.2,0.0,2.0,0.37,0.0,0.63
0.5,0.0,2.0,0.37,0.4671906828188087,0.63
1.0,0.0,2.0,0.37,0.5824177618013655,0.63
2.0,0.0,2.0,0.37,0.6165464552372074,0.63
0.1,0.0,2.0,0.375,0.0,0.625
0.2,0.0,2.0,0.375,0.0,0.625
0.5,0.0,2.0,0.375,0.4583210926475725,0.625
1.0,0.0,2.0,0.375,0.5761808994459596,0.625
2.0,0.0,2.0,0.375,0.6111626168499857,0.625
0.1,0.0,2.0,0.38,0.0,0.62
0.2,0.0,2.0,0.38,0.0,0.62
