rho,delta,beta,alpha,mmse,mse_ridge_opt
0.2,0.0,1.0,0.375,0.0,0.625
1.0,0.0,1.0,0.375,0.5984773740401846,0.625
0.2,0.0,2.0,0.375,0.0,0.625
1.0,0.0,2.0,0.375,0.5761808994459596,0.625
0.2,0.0,1.0,0.38,0.0,0.62
1.0,0.0,1.0,0.38,0.5927606662812597,0.62
0.2,0.0,2.0,0.38,0.0,0.62
1.0,0.0,2.0,0.38,0.5699418275828505,0.62
0.2,0.0,1.0,0.385,0.0,0.615
1.0,0.0,1.0,0.385,0.5870412516136331,0.615
0.2,0.0,2.0,0.385,0.0,0.615
1.0,0.0,2.0,0.385,0.5637012256880986,0.615
0.2,0.0,1.0,0.39,0.0,0.61
1.0,0.0,1.0,0.39,0.5813195434730982,0.61
0.2,0.0,2.0,0.39,0.0,0.61
1.0,0.0,2.0,0.39,0.5574597700525202,0.61
0.2,0.0,1.0,0.395,0.0,0.605
1.0,0.0,1.0,0.395,0.5755959079111221,0.605
0.2,0.0,2.0,0.395,0.0,0.605
1.0,0.0,2.0,0.395,0.5512181336380186,0.605
0.2,0.0,1.0,0.4,0.0,0.6
1.0,0.0,1.0,0.4,0.5698707749818284,0.6
0.2,0.0,2.0,0.4,0.0,0.6
1.0,0.0,2.0,0.4,0.5449769859562794,0.6
0.2,0.0,1.0,0.405,0.0,0.595
1.0,0.0,1.0,0.405,0.5641445214101347,0.595
0.2,0.0,2.0,0.405,0.0,0.595
1.0,0.0,2.0,0.405,0.5387369929686188,0.595
0.2,0.0,1.0,0.41,0.0,0.5900000000000001
1.0,0.0,1.0,0.41,0.5584175592583138,0.5900000000000001
0.2,0.0,2.0,0.41,0.0,0.5900000000000001
1.0,0.0,2.0,0.41,0.5324988170057406,0.5900000000000001
0.2,0.0,1.0,0.415,0.0,0.585
1.0,0.0,1.0,0.415,0.5526902725716138,0.585
0.2,0.0,2.0,0.415,0.0,0.585
1.0,0.0,2.0,0.415,0.5262631048207684,0.585
0.2,0.0,1.0,0.42,0.0,0.5800000000000001
1.0,0.0,1.0,0.42,0.5469630791105364,0.5800000000000001
0.2,0.0,2.0,0.42,0.0,0.5800000000000001
1.0,0.0,2.0,0.42,0.5200305438173833,0.5800000000000001
0.2,0.0,1.0,0.425,0.0,0.575
1.0,0.0,1.0,0.425,0.5412363657423731,0.575
0.2,0.0,2.0,0.425,0.0,0.575
1.0,0.0,2.0,0.425,0.5138017584401824,0.575
0.2,0.0,1.0,0.43,0.0,0.5700000000000001
1.0,0.0,1.0,0.43,0.5355105321775755,0.5700000000000001
0.2,0.0,2.0,0.43,0.0,0.5700000000000001
1.0,0.0,2.0,0.43,0.5075773999574849,0.5700000000000001
0.2,0.0,1.0,0.435,0.0,0.565
1.0,0.0,1.0,0.435,0.5297859831820226,0.565
0.2,0.0,2.0,0.435,0.0,0.565
1.0,0.0,2.0,0.435,0.5013581111034344,0.565
0.2,0.0,1.0,0.44,0.0,0.56
1.0,0.0,1.0,0.44,0.5240631030790581,0.56
0.2,0.0,2.0,0.44,0.0,0.56
1.0,0.0,2.0,0.44,0.4951445398686515,0.56
0.2,0.0,1.0,0.445,0.0,0.5549999999999999
1.0,0.0,1.0,0.445,0.5183423147849375,0.5549999999999999
0.2,0.0,2.0,0.445,0.0,0.5549999999999999
1.0,0.0,2.0,0.445,0.48893731482447256,0.5549999999999999
0.2,0.0,1.0,0.45,0.0,0.55
1.0,0.0,1.0,0.45,0.5126239606361659,0.55
0.2,0.0,2.0,0.45,0.0,0.55
1.0,0.0,2.0,0.45,0.4827370721612467,0.55
0.2,0.0,1.0,0.455,0.0,0.5449999999999999
1.0,0.0,1.0,0.455,0.5069085522754481,0.5449999999999999
0.2,0.0,2.0,0.455,0.0,0.5449999999999999
1.0,0.0,2.0,0.455,0.476544444243452,0.5449999999999999
0.2,0.0,1.0,0.46,0.0,0.54
1.0,0.0,1.0,0.46,0.5011963712790699,0.54
0.2,0.0,2.0,0.46,0.0,0.54
1.0,0.0,2.0,0.46,0.4703600364210273,0.54
0.2,0.0,1.0,0.465,0.0,0.5349999999999999
1.0,0.0,1.0,0.465,0.4954878595443243,0.5349999999999999
